School,Investment (in millions)
Allegheny PreK-5 at King ,13.7
Arlington 6-8,1.3
Arsenal 6-8,5.4
Brookline PreK-5,3.5
Carmalt 6-8,4.8
Colfax 6-8,9.2
Dilworth K-5 ,3.3
Greenfield K-8,4
Langley PreK-5,4.5
Liberty K-5,3.5
Mifflin K-8 to a K-5,1.5
Morrow PreK-5,2.1
Montessori PreK-5 at Linden,5.6
Northview PreK-5,29.6
Schiller 6-8 at Allegheny,2.9
Sci-Tech 6-8 at Milliones,6.1
Sunnyside PreK-5,2.4
